,sample,Run,site,reef_system,transect,distance,coral,sand,Sample_or_Control,depth,substrate_desc,substrate.class,DAPI,pcr_group,lat,lon,AvgCellsPerField,StdCellsPerField,CV.bact,bact.ml,CV.dsRed,dsRed.ml,raw,filtered,denoised,nochim,read_prop,is.neg,site.transect
FLA_43,FLA_43,Run1,FLA_015,FLA,1,5,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,185507,175677,174064,171841,0.926331620909184,FALSE,FLA_015 1
FLA_61,FLA_61,Run1,FLA_015,FLA,3,4,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,192530,180265,179479,178034,0.924707837739573,FALSE,FLA_015 3
FLA_59,FLA_59,Run1,FLA_015,FLA,3,10,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,147731,140034,139305,137968,0.933913667409007,FALSE,FLA_015 3
FLA_47,FLA_47,Run1,FLA_015,FLA,1,2,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,126223,119531,118822,117715,0.932595485767253,FALSE,FLA_015 1
FLA_41,FLA_41,Run1,FLA_015,FLA,1,6,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,187518,173550,172540,170201,0.907651532119583,FALSE,FLA_015 1
FLA_350,FLA_350,Run1,FLA_073,FLA,1,10,no,no,Sample,NA,macroalgae and rock,,NA,,25.38634,-80.16294,NA,NA,NA,NA,NA,NA,101320,95232,93992,92867,0.916571259376234,FALSE,FLA_073 1
FLA_298,FLA_298,Run1,FLA_049,FLA,1,5,,,Sample,NA,,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,71439,66565,65984,65668,0.919217794202047,FALSE,FLA_049 1
FLA_281,FLA_281,Run1,FLA_049,FLA,1,9,,,Sample,NA,,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,130902,124560,123467,122318,0.934424225756673,FALSE,FLA_049 1
FLA_264,FLA_264,Run1,FLA_049,FLA,3,10,no,yes,Sample,NA,algae and sand,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,144950,138263,137309,134439,0.927485339772335,FALSE,FLA_049 3
FLA_45,FLA_45,Run1,FLA_015,FLA,2,4,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,147114,138047,137406,136017,0.924568701823076,FALSE,FLA_015 2
FLA_348,FLA_348,Run1,FLA_073,FLA,1,9,no,no,Sample,NA,pavement,,NA,,25.38634,-80.16294,NA,NA,NA,NA,NA,NA,95941,90768,89499,87829,0.915448035771985,FALSE,FLA_073 1
FLA_12,FLA_12,Run1,FLA_015,FLA,1,3,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,205911,193146,192470,189973,0.922597627130168,FALSE,FLA_015 1
FLA_297,FLA_297,Run1,FLA_049,FLA,3,8,no,no,Sample,NA,algae,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,117075,109832,109054,108375,0.92568866111467,FALSE,FLA_049 3
FLA_52,FLA_52,Run1,FLA_015,FLA,1,4,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,171651,161611,160720,158716,0.924643608251627,FALSE,FLA_015 1
FLA_293,FLA_293,Run1,FLA_049,FLA,3,6,no,yes,Sample,NA,sand,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,132369,124665,123530,122556,0.925866328218843,FALSE,FLA_049 3
FLA_285,FLA_285,Run1,FLA_049,FLA,1,2,,,Sample,NA,,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,131631,124071,123350,122314,0.929218801042308,FALSE,FLA_049 1
FLA_58,FLA_58,Run1,FLA_015,FLA,1,8,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,170138,159521,158176,155648,0.914833840764556,FALSE,FLA_015 1
FLA_48,FLA_48,Run1,FLA_015,FLA,2,6,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,180195,170171,169463,167740,0.930880435084214,FALSE,FLA_015 2
FLA_56,FLA_56,Run1,FLA_015,FLA,1,7,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,142449,134667,134007,132549,0.93050144262157,FALSE,FLA_015 1
FLA_269,FLA_269,Run1,FLA_049,FLA,2,10,yes,no,Sample,NA,coral,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,98775,93466,92705,92044,0.93185522652493,FALSE,FLA_049 2
FLA_347,FLA_347,Run1,FLA_073,FLA,1,3,no,no,Sample,NA,macroalgae,,NA,,25.38634,-80.16294,NA,NA,NA,NA,NA,NA,92919,86748,85834,85309,0.91810071137227,FALSE,FLA_073 1
FLA_54,FLA_54,Run1,FLA_015,FLA,3,5,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,87118,81843,81229,80268,0.921371014026952,FALSE,FLA_015 3
FLA_273,FLA_273,Run1,FLA_049,FLA,3,2,,,Sample,NA,,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,111480,105051,104128,103342,0.927000358808755,FALSE,FLA_049 3
FLA_42,FLA_42,Run1,FLA_015,FLA,3,6,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,169940,159590,158677,156893,0.923225844415676,FALSE,FLA_015 3
FLA_294,FLA_294,Run1,FLA_049,FLA,1,1,,,Sample,NA,,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,128309,120989,120031,119089,0.928142219174025,FALSE,FLA_049 1
FLA_295,FLA_295,Run1,FLA_049,FLA,2,1,,,Sample,NA,,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,95479,90315,89618,88984,0.931974570324364,FALSE,FLA_049 2
FLA_351,FLA_351,Run1,FLA_073,FLA,1,1,no,no,Sample,NA,rock,,NA,,25.38634,-80.16294,NA,NA,NA,NA,NA,NA,104541,98521,97587,96998,0.92784649085048,FALSE,FLA_073 1
FLA_272,FLA_272,Run1,FLA_049,FLA,2,4,no,yes,Sample,NA,sand,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,120268,114067,112956,111927,0.930646556024878,FALSE,FLA_049 2
FLA_279,FLA_279,Run1,FLA_049,FLA,2,8,no,yes,Sample,NA,sand,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,125084,118180,117412,116556,0.931821815739823,FALSE,FLA_049 2
FLA_49,FLA_49,Run1,FLA_015,FLA,1,9,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,57808,54300,53823,53498,0.92544284528093,FALSE,FLA_015 1
FLA_282,FLA_282,Run1,FLA_049,FLA,3,9,no,yes,Sample,NA,algae and sand,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,92535,88115,87510,86229,0.931852812449343,FALSE,FLA_049 3
FLA_60,FLA_60,Run1,FLA_015,FLA,2,8,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,72725,68621,68079,67296,0.925348917153661,FALSE,FLA_015 2
FLA_268,FLA_268,Run1,FLA_049,FLA,1,10,,,Sample,NA,,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,110779,103984,103395,100169,0.904223724713168,FALSE,FLA_049 1
FLA_289,FLA_289,Run1,FLA_049,FLA,2,9,no,yes,Sample,NA,sand,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,142736,134773,133909,132715,0.9297934648582,FALSE,FLA_049 2
FLA_280,FLA_280,Run1,FLA_049,FLA,2,3,no,yes,Sample,NA,sand,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,135563,127545,126720,124740,0.920162581235293,FALSE,FLA_049 2
FLA_53,FLA_53,Run1,FLA_015,FLA,2,5,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,152393,142063,141356,138989,0.912043204084177,FALSE,FLA_015 2
FLA_267,FLA_267,Run1,FLA_049,FLA,1,4,,,Sample,NA,,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,188876,178651,177564,176464,0.934284927677418,FALSE,FLA_049 1
FLA_15,FLA_15,Run2,FLA_015,FLA,3,8,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,193782,181873,181015,178410,0.920673746787627,FALSE,FLA_015 3
FLA_343,FLA_343,Run2,FLA_073,FLA,1,4,no,no,Sample,NA,dead OANN and macroalgae,,NA,,25.38634,-80.16294,NA,NA,NA,NA,NA,NA,80922,75252,74236,73706,0.910827710634932,FALSE,FLA_073 1
FLA_290,FLA_290,Run2,FLA_049,FLA,2,5,no,yes,Sample,NA,sand,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,65109,61230,60601,60193,0.924495845428435,FALSE,FLA_049 2
FLA_346,FLA_346,Run2,FLA_073,FLA,1,8,no,yes,Sample,NA,sand,,NA,,25.38634,-80.16294,NA,NA,NA,NA,NA,NA,52950,49168,47980,47728,0.90137865911237,FALSE,FLA_073 1
FLA_287,FLA_287,Run2,FLA_049,FLA,1,3,,,Sample,NA,,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,52608,49632,49159,48995,0.931322232360097,FALSE,FLA_049 1
FLA_50,FLA_50,Run2,FLA_015,FLA,1,10,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,91701,85951,85269,84438,0.920796937874178,FALSE,FLA_015 1
FLA_284,FLA_284,Run2,FLA_049,FLA,3,5,,,Sample,NA,,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,35214,32556,32089,31964,0.907707161924235,FALSE,FLA_049 3
FLA_64,FLA_64,Run2,FLA_015,FLA,2,2,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,102569,97180,96422,95353,0.929647359338592,FALSE,FLA_015 2
FLA_278,FLA_278,Run2,FLA_049,FLA,1,7,,,Sample,NA,,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,62088,59211,58706,58516,0.942468754026543,FALSE,FLA_049 1
FLA_300,FLA_300,Run2,FLA_049,FLA,1,6,,,Sample,NA,,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,59938,56847,56368,56246,0.938403016450332,FALSE,FLA_049 1
FLA_349,FLA_349,Run2,FLA_073,FLA,1,2,,,Sample,NA,,,NA,,25.38634,-80.16294,NA,NA,NA,NA,NA,NA,68162,64125,63323,62938,0.923359056365717,FALSE,FLA_073 1
FLA_39,FLA_39,Run2,FLA_015,FLA,3,9,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,155125,145441,144598,142926,0.921360193392425,FALSE,FLA_015 3
FLA_67,FLA_67,Run2,FLA_015,FLA,2,7,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,90046,84281,83755,82775,0.919252382115808,FALSE,FLA_015 2
FLA_62,FLA_62,Run2,FLA_015,FLA,2,3,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,92925,85904,85292,84547,0.90984126984127,FALSE,FLA_015 2
FLA_291,FLA_291,Run2,FLA_049,FLA,3,4,yes,no,Sample,NA,stephanocoenia,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,79737,74690,74010,73428,0.920877384401219,FALSE,FLA_049 3
FLA_344,FLA_344,Run2,FLA_073,FLA,1,7,no,yes,Sample,NA,sand,,NA,,25.38634,-80.16294,NA,NA,NA,NA,NA,NA,134233,125706,124003,122942,0.915885065520401,FALSE,FLA_073 1
FLA_274,FLA_274,Run2,FLA_049,FLA,3,1,yes,no,Sample,NA,spong and soft coral,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,79674,75494,74539,73436,0.921705951753395,FALSE,FLA_049 3
FLA_263,FLA_263,Run2,FLA_049,FLA,3,7,no,yes,Sample,NA,sand,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,82040,77519,76791,76325,0.930338859093125,FALSE,FLA_049 3
FLA_51,FLA_51,Run2,FLA_015,FLA,3,7,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,86562,82321,81845,81246,0.938587370901781,FALSE,FLA_015 3
FLA_40,FLA_40,Run2,FLA_015,FLA,3,3,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,126902,117402,117116,115852,0.912924934201195,FALSE,FLA_015 3
FLA_286,FLA_286,Run2,FLA_049,FLA,2,6,yes,no,Sample,NA,soft coral,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,90416,86188,85188,84517,0.934757122633162,FALSE,FLA_049 2
FLA_57,FLA_57,Run2,FLA_015,FLA,2,1,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,78989,73861,73390,72593,0.919026699920242,FALSE,FLA_015 2
FLA_55,FLA_55,Run2,FLA_015,FLA,3,1,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,72597,68759,68176,67362,0.927889582214141,FALSE,FLA_015 3
FLA_296,FLA_296,Run2,FLA_049,FLA,3,3,,,Sample,NA,,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,88957,84415,83618,83103,0.934192924671471,FALSE,FLA_049 3
FLA_275,FLA_275,Run2,FLA_049,FLA,2,7,yes,no,Sample,NA,soft coral,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,82786,77600,76840,76424,0.923151257458991,FALSE,FLA_049 2
FLA_46,FLA_46,Run2,FLA_015,FLA,2,9,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,55277,52102,51583,51236,0.92689545380538,FALSE,FLA_015 2
FLA_38,FLA_38,Run2,FLA_015,FLA,1,11,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,164293,154096,153465,151405,0.921554783222657,FALSE,FLA_015 1
FLA_342,FLA_342,Run2,FLA_073,FLA,1,6,,,Sample,NA,,,NA,,25.38634,-80.16294,NA,NA,NA,NA,NA,NA,63946,60098,59200,58742,0.918618834641729,FALSE,FLA_073 1
FLA_299,FLA_299,Run2,FLA_049,FLA,1,8,,,Sample,NA,,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,63066,59487,58775,58526,0.92801192401611,FALSE,FLA_049 1
FLA_283,FLA_283,Run2,FLA_049,FLA,2,2,,,Sample,NA,,,NA,,25.11012,-80.30382,NA,NA,NA,NA,NA,NA,66326,62480,61883,61477,0.926891415131321,FALSE,FLA_049 2
FLA_65,FLA_65,Run2,FLA_015,FLA,3,2,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,23149,20433,20215,20111,0.868763229513154,FALSE,FLA_015 3
FLA_44,FLA_44,Run2,FLA_015,FLA,3,10,,,Sample,NA,,,NA,,24.722388,-82.828323,NA,NA,NA,NA,NA,NA,92420,87416,86965,86089,0.931497511361177,FALSE,FLA_015 3
STT_61,STT_61,Run3,Black Point,STT,2,8,,,Sample,7.6,P. astroides,Live coral,126,B,18.344616,-64.98603,33.7,8.014570065,23.78210702,1905288.272,68.18697156,434248.5728,74105,70512,70029,69477,0.937548073679239,FALSE,Black Point 2
STT_74,STT_74,Run3,Brewer's Bay,STT,2,7,,,Sample,5.7,macroalgae,Algae,57,B,18.343027,-64.980451,44.9,4.148627618,9.239705162,2526282.331,NA,NA,88582,81323,80804,80079,0.904009843986363,FALSE,Brewer's Bay 2
STT_77,STT_77,Run3,Flat Cay,STT,3,8,,,Sample,8.3,porites + crustose coraline algae + rock,Live coral,2,B,18.316767,-64.987961,34.6,6.131883887,17.72220777,1947729.432,NA,NA,114808,105944,105248,104391,0.909265904814995,FALSE,Flat Cay 3
STT_60,STT_60,Run3,Brewer's Bay,STT,3,4,,,Sample,4.8,OANN,Live coral,45,B,18.343027,-64.980451,29.6,10.38374799,35.08022968,1675295.557,37.26364838,378261.373,87626,82028,81607,81043,0.924873895875653,FALSE,Brewer's Bay 3
STT_78,STT_78,Run3,Flat Cay,STT,2,9,,,Sample,NA,OANN,Live coral,22,B,18.316767,-64.987961,32.7,6.896859189,21.0913125,1849519.585,46.57618259,242603.3222,112183,102615,102117,101263,0.902659048162378,FALSE,Flat Cay 2
STT_70,STT_70,Run3,Flat Cay,STT,3,4,,,Sample,8.4,rock,Rock,118,B,18.316767,-64.987961,46.6,12.77323591,27.41037748,2622805.724,NA,NA,102174,91988,91494,90463,0.885381799675064,FALSE,Flat Cay 3
STT_63,STT_63,Run3,Flat Cay,STT,3,5,,,Sample,8.4,rock,Rock,23,B,18.316767,-64.987961,23.1,3.725288952,16.126792,1301337.315,NA,NA,90311,81799,81380,80840,0.895129054046572,FALSE,Flat Cay 3
STT_27,STT_27,Run3,Flat Cay,STT,1,4,,,Sample,5.9,dead orbicella,Dead coral,10,A,18.316767,-64.987961,24.7,6.037843618,24.444711,1394717.84,92.80492857,146483.0576,98090,78310,77730,76854,0.783504944438781,FALSE,Flat Cay 1
STT_75,STT_75,Run3,Black Point,STT,1,5,,,Sample,8.3,dead coral macroalgae,Algae,64,B,18.344616,-64.98603,41.8,11.39005414,27.24893335,2350295.28,NA,NA,93197,86720,86183,85156,0.913720398725281,FALSE,Black Point 1
STT_82,STT_82,Run3,Black Point,STT,1,7,,,Sample,8.7,P. porites,Live coral,86,B,18.344616,-64.98603,48.4,10.11269829,20.89400473,2726384.589,NA,NA,104726,96392,95555,94295,0.900397227049634,FALSE,Black Point 1
STT_62,STT_62,Run3,Flat Cay,STT,3,9,,,Sample,8,rock + algae,Rock,51,B,18.316767,-64.987961,41.4,10.58510484,25.56788608,2329550.088,NA,NA,114303,106273,105491,104115,0.910868481142227,FALSE,Flat Cay 3
STT_28,STT_28,Run3,Black Point,STT,3,2,,,Sample,6.3,rock,Rock,72,A,18.344616,-64.98603,28.1,5.839520528,20.78121184,1588022.631,48.02944874,231127.1053,100210,73183,72572,71428,0.712783155373715,FALSE,Black Point 3
STT_86,STT_86,Run3,Flat Cay,STT,3,6,,,Sample,8.4,macroalgae,Algae,87,B,18.316767,-64.987961,38.6,7.545418036,19.54771512,2175072.008,32.49637968,247894.4052,93761,85125,84762,83895,0.894775013065134,FALSE,Flat Cay 3
STT_64,STT_64,Run3,Black Point,STT,2,5,,,Sample,7.4,macroalgae,Algae,122,B,18.344616,-64.98603,20.6,4.788875999,23.24697087,1162819.203,82.32573003,118313.2388,70022,65864,65290,64425,0.920067978635286,FALSE,Black Point 2
STT_43,STT_43,Run3,Brewer's Bay,STT,2,6,,,Sample,5.9,sponge,Sponge,28,A,18.343027,-64.980451,34.1,3.900142448,11.43736788,1919902.717,NA,NA,130615,108531,107802,106555,0.815794510584542,FALSE,Brewer's Bay 2
STT_22,STT_22,Run3,Flat Cay,STT,2,1,,,Sample,7.6,dead coral macroalgae,Algae,16,A,18.316767,-64.987961,33.3,7.394442357,22.2055326,1877984.088,54.30695666,202822.6951,118195,86697,86039,84698,0.716595456660603,FALSE,Flat Cay 2
STT_25,STT_25,Run3,Black Point,STT,1,8,,,Sample,8.9,green sponge,Sponge,73,A,18.344616,-64.98603,57.7,10.06699779,17.44713655,3249985.486,NA,NA,79179,62421,61800,61011,0.770545220323571,FALSE,Black Point 1
